,product,price,discount,image,rating,global rating
112,"realme 8 Pro (Infinite Blue, 6GB RAM, 128GB Storage) Without Offers",,,https://m.media-amazon.com/images/I/41Rz0xhpDzL._AC_UL320_.jpg,4.3,58.0
113,"(Renewed) Realme narzo 30 Pro (Sword Black, 8GB RAM, 128GB Storage) Without Offer",18995.0,"Save 3,004 (14%)",https://m.media-amazon.com/images/I/51NIdRB7yVL._AC_UL320_.jpg,,
114,realme C21 (32 GB) (3 GB RAM) (Cross Black),,,https://m.media-amazon.com/images/I/31Zk4o66DiL._AC_UL320_.jpg,3.5,19.0
115,"realme X7 Pro Fantasy, 8 GB RAM, 128 GB Storage",,,https://m.media-amazon.com/images/I/41E6sCbEffL._AC_UL320_.jpg,3.8,48.0
116,"Realme X50 Pro (Rust Red, 8GB RAM, 128GB Storage)",32990.0,"Save 10,009 (23%)",https://m.media-amazon.com/images/I/61D2+bCzY0L._AC_UL320_.jpg,4.4,13.0
117,(Renewed) realme Buds Air Pro ANC TWS Earphones (Black) | Bluetooth v5.0 | 25-Hour Playback | Touch Controls | Bass Boost+ | Wear Detection & IWP,3149.0,"Save 1,350 (30%)",https://m.media-amazon.com/images/I/61ifFjP170L._AC_UL320_.jpg,1.0,1.0
118,"Realme C11 (Rich Grey, 32 GB) (2 GB RAM)",,,https://m.media-amazon.com/images/I/61fpEtEtwvL._AC_UL320_.jpg,4.0,413.0
119,"(Renewed) realme Buds Air Neo True Wireless Headphone with mic, Bluetooth 5.0, Deep Bass, IPX4 Sweatproof (Red)",1997.0,Save 443 (18%),https://m.media-amazon.com/images/I/51496zGqejL._AC_UL320_.jpg,3.9,9.0
120,"Realme X7 Max 5G (Asteroid Black, 12GB RAM, 256GB Storage)",,,https://m.media-amazon.com/images/I/71CmG44Al4S._AC_UL320_.jpg,4.2,18.0
121,"realme X7 Max 5G (Mercury Silver, 8GB RAM, 128GB Storage)",24999.0,"Save 5,000 (17%)",https://m.media-amazon.com/images/I/71CmG44Al4S._AC_UL320_.jpg,4.2,18.0
122,"Realme 8 (Cyber Black, 8GB RAM, 128GB Storage)",,,https://m.media-amazon.com/images/I/71xThduth+L._AC_UL320_.jpg,3.9,37.0
123,"Realme 7 (Mist Blue, 8GB RAM, 128GB Storage) Without Offer",,,https://m.media-amazon.com/images/I/31El3mZBGQL._AC_UL320_.jpg,4.2,2265.0
124,"Realme X2 (Pearl Green, 4GB RAM, 64GB Storage)",,,https://m.media-amazon.com/images/I/71blQjSP-wL._AC_UL320_.jpg,4.0,53.0
125,"realme XT (Pearl White, 4GB RAM, 64GB Storage)",16900.0,Save 99 (1%),https://m.media-amazon.com/images/I/71cbZLek0JL._AC_UL320_.jpg,4.3,1165.0
126,(Renewed) Realme 7 Pro (Sun Kissed Leather) (6+128GB),17999.0,"Save 3,000 (14%)",https://m.media-amazon.com/images/I/417xBsSs-iL._AC_UL320_.jpg,1.9,4.0
127,Realme 3i 3Gb 32Gb (Diamond Black),9500.0,Save 499 (5%),https://m.media-amazon.com/images/I/31zvbyTnXwL._AC_UL320_.jpg,4.2,504.0
128,"(Renewed) Realme X50 Pro [Moss Green, 8GB RAM, 128GB Storage]",23000.0,"Save 6,982 (23%)",https://m.media-amazon.com/images/I/51SHjtcVN5L._AC_UL320_.jpg,2.7,9.0
129,"realme narzo 30 5G (Racing Sliver, 6GB RAM, 128GB Storage) -MediaTek Dimensity 700 processor I Full HD+ display with No Cost EMI/Additional Exchange Offers",,,https://m.media-amazon.com/images/I/71S0OQ4M27L._AC_UL320_.jpg,3.5,6.0
130,"Realme 2 (Diamond Black, 3GB RAM, 32GB Storage)",9490.0,"Save 1,100 (10%)",https://m.media-amazon.com/images/I/41H9hEDAhWL._AC_UL320_.jpg,4.1,60.0
131,"Realme C15 (Power Blue, 3GB RAM, 32GB Storage)",10690.0,"Save 1,309 (11%)",https://m.media-amazon.com/images/I/31vWP0YONmL._AC_UL320_.jpg,3.9,67.0
132,"(Renewed) Realme X7 Pro 5G (Mystic Black, 8GB RAM, 128GB Storage)",22000.0,"Save 1,490 (6%)",https://m.media-amazon.com/images/I/61yVR4e8j-S._AC_UL320_.jpg,5.0,1.0
133,"Realme 7 (Mist White, 6GB RAM, 64GB Storage) Without Offer",,,https://m.media-amazon.com/images/I/31A7BDld35L._AC_UL320_.jpg,4.2,2265.0
134,"(Renewed) Realme X7 (Space Silver, 8GB RAM, 128GB Storage) Without Offer",20499.0,"Save 3,500 (15%)",https://m.media-amazon.com/images/I/41B-BnAwg2S._AC_UL320_.jpg,2.7,7.0
135,realme Wireless 360 Deg Security Camera and Echo Show 8 Bundle (White),11834.0,"Save 5,164 (30%)",https://m.media-amazon.com/images/I/8196iIiq5FL._AC_UL320_.jpg,4.1,2021.0
136,"Realme 6 (Comet Blue, 6GB RAM, 128GB Storage)",17900.0,Save 99 (1%),https://m.media-amazon.com/images/I/71YJ+lCzp0L._AC_UL320_.jpg,4.2,230.0
137,(Renewed) realme Buds Wireless Pro with Active Noise Cancellation (ANC) in-Ear Bluetooth Headphones with Mic (Yellow),2959.0,Save 540 (15%),https://m.media-amazon.com/images/I/71KA6pFwO0L._AC_UL320_.jpg,3.0,32.0
138,"(Renewed) Realme 7 Pro (Mirror Silver, 6GB RAM, 128GB Storage)",19999.0,"Save 1,000 (5%)",https://m.media-amazon.com/images/I/51y6ryf+gGL._AC_UL320_.jpg,3.3,15.0
139,"(Renewed) Realme X7 (Space Silver, 6GB RAM, 128GB Storage) Without Offer",18999.0,"Save 3,000 (14%)",https://m.media-amazon.com/images/I/41B-BnAwg2S._AC_UL320_.jpg,4.3,3.0
140,"Realme X7 (Space Silver, 8GB RAM, 128GB Storage) Without Offer",,,https://m.media-amazon.com/images/I/41VKt2m8HQL._AC_UL320_.jpg,4.2,1439.0
141,"(Renewed) realme X7 Max 5G (Android Black, 256 GB) (12 GB RAM)",27999.0,"Save 5,000 (15%)",https://m.media-amazon.com/images/I/31OIvYPC4KL._AC_UL320_.jpg,1.0,2.0
142,"(Renewed) realme X7 Max 5G (Milky Way, 8GB+128GB)",22499.0,"Save 4,500 (17%)",https://m.media-amazon.com/images/I/41b0Aca9xzL._AC_UL320_.jpg,1.0,2.0
